firstAffiliation,nation,city_state,cleaned_city_state
"ottawa heart institute, department of epidemiology and community medicine, university of ottawa, ottawa, ontario, canada.",canada,,
"division of clinical neurosciences, university of edinburgh, edinburgh, scotland.",uk (united kingdom),,
"rochester general hospital, rochester, new york.",usa," response: rochester, new york.","rochester, new york."
"department of neurology, emory university school of medicine, atlanta, georgia.",usa," atlanta, georgia.","atlanta, georgia."
"department of neurology and neurosurgery, grenoble university hospital and inserm u318, joseph fourier university, grenoble, france.",france,,
"hospital for sick children research institute, toronto, ontario, canada2institute of health policy, management and evaluation, university of toronto, toronto, ontario, canada3department of clinical epidemiology and biostatistics, mcmaster university, hami.",canada,,
"school of population and public health, university of british columbia, vancouver, canada6faculty of health sciences, university of ottawa, ottawa, ontario, canada7redwood outcomes, vancouver, british columbia, canada.",canada,,
"hospital for sick children research institute, toronto, ontario, canada4department of anesthesia and pain medicine, hospital for sick children, university of toronto, toronto, ontario, canada.",canada,,
"department of pediatrics, university of alberta, edmonton, canada11department of agricultural, food and nutritional science, university of alberta, edmonton, canada.",canada,,
"department of clinical epidemiology and biostatistics, mcmaster university, hamilton, ontario, canada12michael g. degroote institute for pain research and care, mcmaster university, hamilton, ontario, canada13department of anesthesia, mcmaster university.",canada,,
"department of clinical epidemiology and biostatistics, mcmaster university, hamilton, ontario, canada7redwood outcomes, vancouver, british columbia, canada14stanford prevention research center, stanford university school of medicine, stanford university.","canada, usa

explanation: the",,
"redwood outcomes, vancouver, british columbia, canada15department of public health and community medicine, tufts university, boston, massachusetts.","canada, usa",,
"department of surgery, tufts medical center, boston, massachusetts.",usa," response: boston, ma

Explan","boston, ma"
"anmco research center, florence, italy.",italia (or italy),,
"division of general surgery, virginia commonwealth university, richmond.",usa," response: richmond, va","richmond, va"
"division of general surgery, stanford university school of medicine, stanford, california.",usa," response: stanford, ca","stanford, ca"
"department of surgery, university of michigan and ann arbor va hospital.",usa," ann arbor, mi

Explanation","ann arbor, mi"
"north american science associates, minneapolis, minnesota.",usa," minneapolis, minnesota.","minneapolis, minnesota."
"enteromedics inc, st paul, minnesota14division of general and gastrointestinal surgery, brigham and women's hospital, boston, massachusetts.",usa," response: st paul, minnesota and","st paul, minnesota and"
"division of endocrinology and diabetes, minneapolis va medical center and university of minnesota, minneapolis.",usa," minneapolis, mn","minneapolis, mn"
"department of medicine, stanford university school of medicine, stanford, california2department of health research and policy, stanford university school of medicine, stanford, california.",usa," stanford, ca

(Assuming that","stanford, ca"
"cancer prevention institute of california, fremont.",usa," Fremont, ca","Fremont, ca"
"division of rheumatology, beth israel deaconess medical center; boston children's hospital, harvard medical school, boston, massachusetts.",usa," Boston, Massachusetts.

Explanation:","Boston, Massachusetts."
"green lane cardiovascular service, auckland city hospital, auckland university, auckland, new zealand.",new zealand,,
"metabolic pathways and cardiovascular therapeutic area, glaxosmithkline, philadelphia, pennsylvania.",usa," response: philadelphia, pennsylvania.","philadelphia, pennsylvania."
"département hospitalo-universitaire fire, hôpital bichat, assistance publique-hôpitaux de paris, and université paris-diderot, paris, france6nhli imperial college, icms royal brompton hospital, united kingdom.","france, uk.",,
"department of medicine, nyu langone medical center, new york.",usa," new york, ny.","new york, ny."
"heart center, department for cardiology and angiology i, university of freiburg, freiburg, germany.",germany,,
"department of orthopedics, aarhus university hospital, aarhus, denmark.",denmark,,
"board member, association of health care journalists, columbia, missouri; independent journalist, pound ridge, new york.",usa," columbia, missouri
pound r","columbia, missouri"
"department of preventive medicine, seoul national university college of medicine and cancer research institute, seoul national university, seoul, korea.",korea,,
"va center for clinical management research, health services research & development service center of innovation, ann arbor, michigan.",usa," ann arbor, michigan.","ann arbor, michigan."
"centre for research on inner city health, li ka shing knowledge institute, st michael's hospital, toronto, ontario, canada2department of psychiatry, university of toronto, toronto, ontario, canada.",canada,,
"division of pulmonary and critical care medicine, department of medicine, vera moulton wall center for pulmonary vascular disease, stanford, california.",usa," response: stanford, ca","stanford, ca"
"denver va medical center, denver, colorado.",usa," denver, colorado.","denver, colorado."
"cardiovascular division, department of medicine, beth israel deaconess medical center, harvard medical school, boston, massachusetts3department of radiology, beth israel deaconess medical center, harvard medical school, boston, massachusetts.",usa," Boston, Massachusetts

Explanation: The","Boston, Massachusetts"
"cardiovascular division, department of medicine, beth israel deaconess medical center, harvard medical school, boston, massachusetts.",usa," Boston, Massachusetts.","Boston, Massachusetts."
"cardiovascular division, department of medicine, beth israel deaconess medical center, harvard medical school, boston, massachusetts2division of cardiology, hospital de clinicas de porto alegre, federal university of rio grande do sul, brazil.","usa, brazil.",,
"department of internal medicine, university of tennessee health science center, memphis.",usa," memphis, tn","memphis, tn"
"mercy hospital, auckland, new zealand.",new zealand,,
"department of pediatrics, st louis children's hospital, st louis, missouri.",usa," response: st louis, missouri.","st louis, missouri."
"university of pittsburgh cancer institute and upmc cancercenter, pittsburgh, pennsylvania.",usa," response: pittsburgh, pennsylvania.","pittsburgh, pennsylvania."
"american cancer society, atlanta, georgia2department of family and community medicine, thomas jefferson university, philadelphia, pennsylvania.",usa," Atlanta, Georgia (for American Cancer Society)
","Atlanta, Georgia"
"harvard clinical research institute, boston, massachusetts22brigham and women's hospital, boston, massachusetts.",usa," Boston, Massachusetts","Boston, Massachusetts"
"jan pawel ii hospital krakow, krakow, poland.",poland,,
"heart institute, cluj-napoca, romania.",romania,,
"centre for research on inner city health, li ka shing knowledge institute, st michael's hospital, toronto, ontario, canada3division of general internal medicine, department of medicine, university of toronto, toronto, ontario, canada.",canada,,
"centre for research on inner city health, li ka shing knowledge institute, st michael's hospital, toronto, ontario, canada4dalla lana school of public health, university of toronto, toronto, ontario, canada.",canada,,
"douglas mental health university institute, montreal, quebec, canada.",canada,,
"departments of psychiatry and community health sciences, university of calgary, calgary, alberta, canada.",canada,,
"faculty of education, université de moncton, moncton, new brunswick, canada.",canada,,
"toronto north support services, toronto, ontario, canada.",canada,,
"department of psychiatry, psychology, and community health sciences, university of manitoba, canada.",canada,,
"department of psychiatry, faculty of medicine, university of manitoba, winnipeg, canada.",canada,,
"institute of mental health, university of british columbia, vancouver, canada.",canada,,
"department of psychiatry, university of toronto, toronto, ontario, canada14department of psychiatry and behavioural neurosciences, mcmaster university, hamilton, ontario, canada.",canada,,
"department of community health sciences, university of sherbrooke, quebec, canada.",canada,,
"department of psychiatry, centre for addiction and mental health, university of toronto, toronto, ontario, canada.",canada,,
"robert wood johnson foundation clinical scholars program, department of family medicine, university of michigan, ann arbor2centers for medicare & medicaid services, baltimore, maryland.",usa," ann arbor, michigan
balt","ann arbor, michigan"
"centers for medicare & medicaid services, baltimore, maryland3boston children's hospital and boston medical center, boston, massachusetts.",usa," Baltimore, Maryland (for Centers for Medicare","Baltimore, Maryland"
"centers for medicare & medicaid services, baltimore, maryland4cincinnati children's hospital medical center, cincinnati, ohio.",usa," Baltimore, Maryland
Cincinnati, Ohio","Baltimore, Maryland"
"health technology assessment unit, regional health service, firenze, italy.",italy,,
"italian society of clinical pharmacy and therapeutics, milan, italy.",italy,,
"lenox hill hospital, new york, new york.",usa," new york, new york.","new york, new york."
"monash heart, victoria, australia.",australia,,
"division of general pediatrics and adolescent health, department of pediatrics, university of minnesota, minneapolis.",usa," minneapolis, mn","minneapolis, mn"
"section of molecular diagnostics, department of clinical biochemistry, aalborg university hospital, aalborg, denmark.",denmark,,
"press ganey, wakefield, massachusetts.",usa," response: wakefield, massachusetts.","wakefield, massachusetts."
"mallinckrodt institute of radiology, washington university school of medicine, st louis, missouri3department of neurology, washington university school of medicine, st louis, missouri4department of neurological surgery, washington university school of med.",usa," St. Louis, Missouri

(Assuming","St. Louis, Missouri"
"department of neurosciences, medical university of south carolina, charleston.",usa," charleston, sc

So the function","charleston, sc"
"federal university of rio grande do sul, porto alegre, brazil.",brazil,,
"lunenfeld-tanenbaum research institute, mount sinai hospital and university of toronto, toronto, ontario, canada.",canada,,
"cancer research initiatives foundation, sime darby medical centre, subang jaya, malaysia176department of surgery, faculty of medicine, university malaya cancer research institute, university malaya, kuala lumpur, malaysia.","malaysia

so the response would be: malaysia",,
"divison of human genetics, department of internal medicine, comprehensive cancer center, ohio state university, columbus.",usa," columbus, ohio

Or simply","columbus, ohio"
"vivantes neukoelln medical center, berlin, germany.",germany,,
"divison of human cancer genetics, departments of internal medicine and molecular virology, immunology and medical genetics, comprehensive cancer center, ohio state university, columbus.",usa," columbus, ohio

Or simply","columbus, ohio"
"n. n. petrov institute of oncology, st petersburg, russia.",russia,,
"department of cancer epidemiology and genetics, masaryk memorial cancer institute and mf mu, brno, czech republic.",czech republic,,
"program in cancer genetics, departments of human genetics and oncology, mcgill university, montreal, quebec, canada161department of medical genetics, university of cambridge, cambridge, united kingdom.","canada, united kingdom.",,
"department of laboratory medicine and pathology, mayo clinic, rochester, minnesota159department of health sciences research, mayo clinic, rochester, minnesota.",usa," rochester, mn

(Assuming","rochester, mn"
"department of surgery, daerim st mary's hospital, seoul, korea.",korea,,
"department of internal medicine, gelre hospital, apeldoorn, the netherlands.",netherlands,,
"department of radiology, university of washington, seattle2department of neurological surgery, university of washington, seattle3department of health services, university of washington, seattle4comparative effectiveness, cost and outcomes research center.",usa," Seattle, wa

(Assuming all departments","Seattle, wa"
"department of radiology, university of washington, seattle4comparative effectiveness, cost and outcomes research center, university of washington, seattle11department of pharmacy, university of washington, seattle.",usa," Seattle, WA

Explanation: The","Seattle, WA"
"comparative effectiveness, cost and outcomes research center, university of washington, seattle6department of psychiatry & behavioral sciences, university of washington, seattle.",usa," Seattle, WA

Explanation: The","Seattle, WA"
"division of research, northern california kaiser to permanente, oakland.",usa," oakland, ca","oakland, ca"
"department of anesthesiology, perioperative and pain medicine, brigham and women's hospital and spine unit, harvard vanguard medical associates, boston, massacusetts.",usa," Boston, Massachusetts.","Boston, Massachusetts."
"neuroscience institute, henry ford hospital, detroit, michigan.",usa," response: detroit, michigan.","detroit, michigan."
"department of pharmacy, university of washington, seattle.",usa," response: seattle, wa","seattle, wa"
"rehabilitation medicine department, mark o. hatfield clinical research center, national institutes of health, bethesda, maryland.",usa," bethesda, maryland.","bethesda, maryland."
"department of neurosurgery and the center for health policy and health services research, henry ford health system, detroit, michigan.",usa," response: detroit, michigan.","detroit, michigan."
"department of family medicine, internal medicine, and public health and preventive medicine, and the oregon institute for occupational health sciences, oregon health and science university, portland.",usa," portland, or

Here's a","portland, or"
"the christ hospital heart and vascular center, cincinnati, ohio2lindner research center, cincinnati, ohio.",usa," Cincinnati, ohio","Cincinnati, ohio"
"harvard clinical research institute, boston, massachusetts4massachusetts general hospital, boston.",usa," Boston, Massachusetts","Boston, Massachusetts"
"harvard clinical research institute, boston, massachusetts5boston university, boston, massachusetts.",usa," Boston, Massachusetts","Boston, Massachusetts"
"harvard clinical research institute, boston, massachusetts6beth israel deaconess medical center, boston, massachusetts.",usa," Boston, Massachusetts","Boston, Massachusetts"
"université paris-diderot, paris, france8département hospitalo-universitaire fire, hôpital bichat, paris, france9national heart and lung institute, imperial college, royal brompton hospital, london, united kingdom.","france, united kingdom.",,
"university hospitals of leicester, leicester, united kingdom.",uk (united kingdom),,
"italian medicines agency, rome, italy.",italy,,
"department of radiology, dartmouth-hitchcock medical center, lebanon, new hampshire.",usa," lebanon, new hampshire.","lebanon, new hampshire."
"debartolo family personalized medicine institute, moffitt cancer center, tampa, florida2xiangya hospital, institute of clinical pharmacology, central south university, changsha, china.","usa, china.",,
"harvard medical school, boston, massachusetts2massgeneral hospital for children, boston, massachusetts.",usa," Boston, Massachusetts","Boston, Massachusetts"
"department of emergency medicine, emory university school of medicine, atlanta, georgia2emergency department, st vincent infirmary medical center, little rock, arkansas.",usa," atlanta, georgia and little rock","atlanta, georgia and little rock"
"senior fellow at project hope, millwood, virginia.",usa," response: millwood, virginia.","millwood, virginia."
"harvard medical school, boston, massachusetts3liver center, division of gastroenterology, department of medicine, massachusetts general hospital, boston.",usa," Boston, Massachusetts","Boston, Massachusetts"
"center for lymphoma, massachusetts general hospital cancer center, boston2harvard medical school, boston, massachusetts.",usa," Boston, Massachusetts.

Explanation:","Boston, Massachusetts."
"instituno nacional de salud publica, mexico city, mexico.",mexico,,
"department of health policy and management, center for public health leadership, harvard school of public health, boston, massachusetts.",usa," response: boston, massachusetts.","boston, massachusetts."
"arthritis research uk primary care centre, keele university, keele, england.",united kingdom,,
"division of cardiovascular medicine, university of tennessee-chattanooga.",usa," Chattanooga, tn

So","Chattanooga, tn"
"urologist, private practice, bastrop, texas.",usa," bastrop, texas.","bastrop, texas."
"department of health policy and management, gillings school of global public health, university of north carolina, chapel hill.",usa," chapel hill,nc

Or simply:","chapel hill,nc"
"department of social and behavioral sciences, harvard school of public health, boston, massachusetts.",usa," response: boston, ma","boston, ma"
"university of california, san francisco, university of california medicaid research institute, san francisco.",usa," response: san francisco, ca","san francisco, ca"
"cornell university medical center, new york, new york.",usa," new york, new york.","new york, new york."
"lunefeld tanenbaum research institute, mount sinai hospital, university of toronto, toronto, ontario, canada.",canada,,
"emergency medicine, university of texas southwestern medical school, austin.",usa," response: austin, tx","austin, tx"
"division of research and optimal patient care, american college of surgeons, chicago, illinois5department of surgery, university of california, los angeles6va greater los angeles healthcare system, los angeles, california.",usa," Chicago, illinois (for the American College of","Chicago, illinois"
"the leonard davis institute, center for health incentives and behavioral economics, university of pennsylvania, philadelphia6department of statistics, the wharton school, university of pennsylvania, philadelphia.",usa," response: philadelphia, pa.

Ex","philadelphia, pa."
"center for outcomes research, the children's hospital of philadelphia, philadelphia, pennsylvania8leonard davis institute of health economics, university of pennsylvania, philadelphia.",usa," response: philadelphia, pennsylvania.
","philadelphia, pennsylvania."
"department of medicine, brigham and womens hospital, boston, massachusetts.",usa," response: boston, ma

Explan","boston, ma"
"department of medicine, perelman school of medicine, university of pennsylvania, philadelphia4the leonard davis institute, center for health incentives and behavioral economics, university of pennsylvania, philadelphia.",usa," response: philadelphia, pa.

Ex","philadelphia, pa."
"department of health care management, the wharton school, university of pennsylvania, philadelphia7center for outcomes research, the children's hospital of philadelphia, philadelphia, pennsylvania8leonard davis institute of health economics, university of.",usa," Philadelphia, Pennsylvania

(Note: The affili","Philadelphia, Pennsylvania"
"press ganey, brigham and women's hospital, harvard medical school, boston, massachusetts2harvard school of public health, boston, massachusetts.",usa," Boston, Massachusetts","Boston, Massachusetts"
"department of emergency medicine, university of colorado, aurora.",usa," aurora, co

So the function would","aurora, co"
"division of cardiovascular surgery, michael e. debakey veterans affairs medical center, houston, texas.",usa," Response: Houston, texas.

Ex","Houston, texas."
"division of cardiology, michael e. debakey veterans affairs medical center, houston, texas.",usa," Response: Houston, texas.

Ex","Houston, texas."
"surgical service, jesse brown veterans affairs medical center, chicago, illinois.",usa," Chicago, Illinois.","Chicago, Illinois."
"radiation medicine program, university health network, toronto, ontario, canada.",canada,,
"school of psychology, university of new south wales, sydney, australia.",australia,,
"school of psychiatry, university of new south wales, sydney, australia.",australia,,
"investigative medicine program, department of diagnostic radiology, yale university school of medicine, new haven, connecticut.",usa," new haven, connecticut.","new haven, connecticut."
"robert wood johnson foundation clinical scholars program, section of general internal medicine, department of internal medicine, yale university school of medicine, new haven, connecticut3department of health policy and management, yale school of public h.",usa," new haven, connecticut

(Note","new haven, connecticut"
"division of epidemiology, human genetics, and environmental sciences, university of texas school of public health and school of medicine, houston4baylor st luke's medical center, houston, texas5baylor college of medicine, houston, texas.",usa," response: houston, texas.
","houston, texas."
"global public health program, frank h. netter md school of medicine, quinnipiac university, hamden, connecticut.",usa," hamden, connecticut.","hamden, connecticut."
"epidemiology, biostatistics and prevention institute, division of communicable diseases, who collaborating centre for travellers' health, university of zurich, zurich, switzerland2division of epidemiology, human genetics, and environmental sciences, unive.",switzerland,,
"fogarty international center, national institutes of health, bethesda, maryland2department of bioethics, clinical center, national institutes of health, bethesda, maryland.",usa," bethesda, maryland","bethesda, maryland"
"gill heart institute and division of cardiovascular medicine, university of kentucky, lexington.",usa," Response: lexington, ky.
","lexington, ky."
"departments of molecular and cell biology and chemistry, center for rna systems biology, innovative genomics initiative, university of california, berkeley2howard hughes medical institute, university of california, berkeley3physical biosciences division.",usa," berkeley, ca

Note: In the","berkeley, ca"
"division of infectious diseases, boston children's hospital, boston, massachusetts.",usa," Boston, Massachusetts.","Boston, Massachusetts."
"division of infectious diseases, university of iowa college of medicine, iowa city.",usa," iowa city, ia","iowa city, ia"
"center for international blood and marrow transplant hresearch and division of biostatistics, medical college of wisconsin, milwaukee.",usa," milwaukee, wi","milwaukee, wi"
"center for international blood and marrow transplant hresearch and division of biostatistics, medical college of wisconsin, milwaukee4clinical research division, fred hutchinson cancer research center, seattle, washington.",usa," milwaukee, wi (for Medical","milwaukee, wi"
"division of blood and marrow transplantation, center for cancer and blood disorders, children's national medical center, george washington university medical center; washington, dc6experimental transplantation and immunology branch, national cancer instit.",usa," Washington, DC

(Assuming the affili","Washington, DC"
"veterans affairs/robert wood johnson clinical scholars program, university of california, los angeles.",usa," Response: Los Angeles, CA.

Ex","Los Angeles, CA."
"mayo clinic robert d. and patricia e. kern center for the science of health care delivery, surgical outcomes division, phoenix, arizona3department of surgery, mayo clinic rochester, rochester, minnesota.",usa," Phoenix, Arizona (for Mayo Clinic Robert","Phoenix, Arizona"
"university healthsystem consortium, chicago, illinois5department of health systems management, rush university, chicago, illinois.",usa," Chicago, Illinois","Chicago, Illinois"
"center for healthcare outcomes and policy, university of michigan, ann arbor2center for clinical management research, veterans affairs ann arbor healthcare system, university of michigan, ann arbor.",usa," ann arbor, mi

Explanation","ann arbor, mi"
"department of anesthesiology, university of michigan health system, ann arbor2center for bioethics and social sciences in medicine, university of michigan health system, ann arbor.",usa," ann arbor, mi

Here's","ann arbor, mi"
"department of anesthesiology, university of michigan health system, ann arbor.",usa," ann arbor, mi","ann arbor, mi"
"obafemi awolowo university, ile-ife, nigeria.",nigeria,,
"department of pediatrics, university of california, los angeles3department of internal medicine, university of california, los angeles.",usa," los angeles, ca

Explanation","los angeles, ca"
"school of public health and community medicine, university of new south wales, sydney, australia.",australia,,
"department of anthropology, university of california, irvine.",usa," irvine, ca","irvine, ca"
"center for statistical consultation and research, university of michigan, ann arbor.",usa," ann arbor, mi","ann arbor, mi"
"department of sociology, michigan state university, east lansing.",usa," Response: east lansing, mi.
","east lansing, mi."
"department of medicine, ottawa hospital, university of ottawa, ottawa, ontario, canada.",canada,,
"department of obstetrics and gynaecology, the royal women's hospital, melbourne, australia.",australia,,
"clinical sciences, murdoch childrens research institute, melbourne, australia.",australia,,
"clinical epidemiology and biostatistics, murdoch childrens research institute, melbourne, australia.",australia,,
"department of dermatology, university of pennsylvania.",usa," response: philadelphia, pa

Explan","philadelphia, pa"
"department of dermatology, university of pennsylvania3department of medicine, university of pennsylvania, philadelphia.",usa," response: philadelphia, pa

Explan","philadelphia, pa"
"department of neurology, geisel school of medicine at dartmouth, dartmouth-hitchcock medical center, lebanon, new hampshire.",usa," lebanon, new hampshire.","lebanon, new hampshire."
"venrock, palo alto, california3the schaeffer center for health policy and economics at the university of southern california, los angeles.",usa," response: palo alto, ca (for Ven","palo alto, ca"
"department of research and education, olmsted medical center, rochester, minnesota.",usa," response: rochester, mn","rochester, mn"
"department of psychology, university of washington, seattle.",usa," response: seattle, wa","seattle, wa"
"division of public health, hygiene, and epidemiology, tohoku medical and pharmaceutical university, sendai, japan.",japan,,
"aberdeen centre for health data science, school of medicine, medical sciences, and nutrition, university of aberdeen, aberdeen, scotland.",uk (united kingdom),,
"kidney health research collaborative, department of medicine, university of california, san francisco.",usa," response: san francisco, ca","san francisco, ca"
"cochrane south africa, south african medical research council, cape town.",south africa,,
"department of family medicine and community health, university of hawaii john a. burns school of medicine, honolulu.",usa," honolulu, hawaii","honolulu, hawaii"
"department of family medicine and community health, university of wisconsin-madison, madison.",usa," madison, wi","madison, wi"
"chapel hill, north carolina.",usa," Chapel Hill, North Carolina.","Chapel Hill, North Carolina."
"crown family school of social work, policy, and practice, university of chicago, chicago, illinois.",usa," Chicago, Illinois.","Chicago, Illinois."
"general medical sciences division, department of medicine, washington university school of medicine in st louis, st louis, missouri.",usa," st louis, missouri.","st louis, missouri."
"department of orthopedic surgery, duke university, durham, north carolina.",usa," durham, north carolina.","durham, north carolina."
"evans school of public policy and governance, university of washington, seattle.",usa," Seattle, wa","Seattle, wa"
"department of global health and social medicine, harvard university, boston, massachusetts.",usa," response: boston, ma

Explan","boston, ma"
"department of internal medicine, federal university of minas gerais, belo horizonte, brazil.",brazil,,
"department of health policy and management, keio university, tokyo, japan.",japan,,
"clinical epidemiology and public health research unit, burlo garofolo institute for maternal and child health, trieste, italy.",italia (or italy),,
"department of maternal and child nursing and public health, federal university of minas gerais, belo horizonte, brazil.",brazil,,
"postgraduate program in epidemiology, federal university of rio grande do sul, porto alegre, brazil.",brazil,,
"department of political science, university of washington, seattle.",usa," response: seattle, wa","seattle, wa"
"department of medicine, chung shan medical university hospital, taichung, taiwan.",taiwan,,
"california health and human services agency, sacramento.",usa," sacramento, ca","sacramento, ca"
"department of health care management, the wharton school, philadelphia, pennsylvania.",usa," response: philadelphia, pa","philadelphia, pa"
"department of health systems, management, and policy, colorado school of public health, aurora.",usa," aurora, co

So the function would","aurora, co"
"department of radiation oncology, memorial sloan kettering cancer center, new york, new york.",usa," new york, new york.","new york, new york."
"department of cardiology, hospital universitario marqués de valdecilla, santander, spain.",spain,,
"hospital universitario y politécnico la fe, valencia, spain.",spain,,
"college of health, lehigh university, bethlehem, pennsylvania.",usa," response: bethlehem, pennsylvania","bethlehem, pennsylvania"
"school of public health, hebrew university and hadassah in jerusalem, jerusalem, israel.",israel,,
"wagner school of public service, new york university, new york, new york.",usa," new york, new york.","new york, new york."
"department of neurology, university of texas school of medicine at houston.",usa," Response: Houston, tx.

Explan","Houston, tx."
"knight cardiovascular institute, oregon health & science university, portland.",usa," response: portland, or","portland, or"
"division of cardiology, duke university school of medicine, durham, north carolina.",usa," durham, north carolina.","durham, north carolina."
"baylor scott and white research institute, dallas, texas.",usa," response: dallas, texas.","dallas, texas."
"department of neurology, medical college of georgia, augusta university, augusta, georgia.",usa," augusta, georgia.","augusta, georgia."
"center for vulnerable populations at zuckerberg san francisco general hospital and trauma center, university of california san francisco.",usa," response: san francisco, ca","san francisco, ca"
"department of family medicine and community health, duke university, durham, north carolina.",usa," durham, north carolina.","durham, north carolina."
"hospital universitario de la princesa, madrid, spain.",spain,,
"cardiac rehabilitation unit, general hospital murska sobota, murska sobota, slovenia.",slovenia,,
"university of california davis health, sacramento.",usa," sacramento, ca","sacramento, ca"
"department of rheumatology, st olavs university hospital, trondheim, norway.",norway,,
"oslo metropolitan university, oslo, norway.",norway,,
"national advisory unit on spinal surgery, st olavs university hospital, trondheim, norway.",norway,,
"department of endocrinology, st olavs university hospital, trondheim, norway.",norway,,
"beaumont health and oakland university william beaumont school of medicine, royal oak, michigan.",usa," response: royal oak, michigan.","royal oak, michigan."
"cumming school of medicine university of calgary, calgary, alberta, canada.",canada,,
"northshore university healthsystem, evanston, illinois.",usa," response: evanston, il

Ex","evanston, il"
"department of woman and child health and public health, fondazione policlinico universitario a. gemelli irccs, rome, italy.",italy,,
"department of emergency medicine, university of colorado denver-anschutz, denver.",usa," denver, co

So the function would","denver, co"
"division of pulmonary, critical care and sleep medicine, university of missouri-kansas city school of medicine, kansas city, kansas.",usa," Kansas City, Kansas.","Kansas City, Kansas."
"department of medicine, weill cornell medicine, new york, new york.",usa," new york, new york.","new york, new york."
"department of medicine, the heersink school of medicine, the university of alabama at birmingham.",usa," response: birmingham, al

Explan","birmingham, al"
"department of pediatrics, the heersink school of medicine, the university of alabama at birmingham.",usa," Response: Birmingham, AL.

Explan","Birmingham, AL."
"division of pulmonary, allergy, and critical care medicine, department of medicine, columbia university college of physicians and surgeons, new york, new york.",usa," new york, new york.","new york, new york."
"department of neurosurgery, university hospital of north norway, tromsø.",norway,,
"internal medicine-pediatrics residency program, prisma health-upstate, greenville, south carolina.",usa," response: greenville, south carolina.","greenville, south carolina."
"department of juridical and economic studies, la sapienza university, rome, italy.",italy,,
"john t. milliken department of internal medicine, washington university in st louis, st louis, missouri.",usa," st louis, missouri.","st louis, missouri."
"wolfson institute of population health, queen mary university of london, london, england.",uk (united kingdom),,
"euroqol research foundation, rotterdam, the netherlands.",netherlands,,
"i. m. sechenov first moscow state medical university, moscow, russia.",russia,,
"uppsala university hospital, uppsala, sweden.",sweden,,
"pediatric dentistry and dental public health department, alexandria university, alexandria, egypt.",egypt,,
"rector's office, i. m. sechenov first moscow state medical university, moscow, russia.",russia,,
"applied physiology research center, cardiovascular research institute, isfahan university of medical sciences, isfahan, iran.",iran,,
"department of public health surveillance and response, national institute for communicable diseases, johannesburg, south africa.",south africa,,
"department of epidemiology, harvard university, boston, massachusetts.",usa," response: boston, ma

Explan","boston, ma"
"department of pediatrics and pediatric infectious diseases, i. m. sechenov first moscow state medical university, moscow, russia.",russia,,
"department of public health, institute of tropical medicine, antwerp, belgium.",belgium,,
"department of occupational medicine and public health, faroese hospital system, torshavn, faroe islands.",faroe islands (or unknown if the,,
"department of internal medicine, bangabandhu sheikh mujib medical university, dhaka, bangladesh.",bangladesh,,
"division of infectious diseases, department of internal medicine, grady health system, emory university school of medicine, atlanta, georgia.",usa," atlanta, georgia.","atlanta, georgia."
"department of vascular diseases, university medical centre, ljubljana, slovenia.",slovenia,,
"indiana university health, indianapolis.",usa," indianapolis, in

So the function","indianapolis, in"
"berufsverband der kinder-und jugendärzte ev, landesverband bayern, regensburg, germany.",germany,,
"d. samuel gottesman library, albert einstein college of medicine, bronx, new york.",usa," bronx, new york.","bronx, new york."
"harvard law school, petrie-flom center for health law policy, biotechnology and bioethics, cambridge, massachusetts.",usa," response: cambridge, ma

Explan","cambridge, ma"
"institute of radiation medicine, chinese academy of medical science, tianjin, china.",china,,
"assistant secretary for health, us public health service, department of health and human services, washington, dc.",usa," response: washington, dc.","washington, dc."
"department of family and community medicine, virginia tech carilion school of medicine and the carilion clinic, roanoke.",usa," response: roanoke, va","roanoke, va"
"institute of diabetes research helmholtz munich, german research center for environmental health, munich, germany.",germany,,
"center for regenerative therapies, technische universität dresden, dresden, germany.",germany,,
"department of neurology, jiangxi provincial people's hospital, nanchang, china.",china,,
"department of neurology, marcus stroke & neuroscience centre, grady memorial hospital, emory university school of medicine, atlanta, georgia.",usa," atlanta, georgia.","atlanta, georgia."
"school of public health, shanghai jiaotong university school of medicine, shanghai, china.",china,,
"department of neurology, sir run run shaw hospital affiliated to zhejiang university, hangzhou, china.",china,,
"department of neurology, xiangyang central hospital, hubei arts and science university, xiangyang, china.",china,,
"department of neurology, sichuan provincial people's hospital, chengdu, china.",china,,
"department of neurology, the first affiliated hospital of shandong first medical university, jinan, china.",china,,
"division of infectious diseases, amsterdam university medical centers, amsterdam, the netherlands.",netherlands,,
"denver health hospital, denver, colorado.",usa," denver, colorado.","denver, colorado."
"big data department, national health insurance service, wonju, korea.",korea,,
"division of infectious diseases, samsung medical center, seoul, korea.",korea,,
"artificial intelligence and big-data convergence center, gachon university college of medicine, incheon, korea.",korea,,
"kp southern california bioethics program, kaiser permanente san bernardino county area, fontana.",usa," response: fontana, ca","fontana, ca"
"southern california permanente medical group, kaiser permanente west los angeles, los angeles.",usa," los angeles, ca","los angeles, ca"
"kp southern california bioethics program, kaiser permanente west los angeles, los angeles.",usa," los angeles, ca","los angeles, ca"
"hus pharmacy, university of helsinki and helsinki university hospital, helsinki, finland.",finland,,
"center for climate, health, and the global environment, harvard t.h. chan school of public health, boston, massachusetts.",usa," Boston, Massachusetts.","Boston, Massachusetts."
"americares, stamford, connecticut.",usa," stompington, connecticut

Note","stompington, connecticut"
